,Abbrev,Long,Category
1199,SpMin1_Bh(i),smallest eigenvalue n. 1 of Burden matrix weighted by ionization potential, Burden eigenvalues
1200,SpMin2_Bh(i),smallest eigenvalue n. 2 of Burden matrix weighted by ionization potential, Burden eigenvalues
1201,SpMin3_Bh(i),smallest eigenvalue n. 3 of Burden matrix weighted by ionization potential, Burden eigenvalues
1202,SpMin4_Bh(i),smallest eigenvalue n. 4 of Burden matrix weighted by ionization potential, Burden eigenvalues
1203,SpMin5_Bh(i),smallest eigenvalue n. 5 of Burden matrix weighted by ionization potential, Burden eigenvalues
1204,SpMin6_Bh(i),smallest eigenvalue n. 6 of Burden matrix weighted by ionization potential, Burden eigenvalues
1205,SpMin7_Bh(i),smallest eigenvalue n. 7 of Burden matrix weighted by ionization potential, Burden eigenvalues
1206,SpMin8_Bh(i),smallest eigenvalue n. 8 of Burden matrix weighted by ionization potential, Burden eigenvalues
1207,SpMin1_Bh(s),smallest eigenvalue n. 1 of Burden matrix weighted by I-state, Burden eigenvalues
1208,SpMin2_Bh(s),smallest eigenvalue n. 2 of Burden matrix weighted by I-state, Burden eigenvalues
1209,SpMin3_Bh(s),smallest eigenvalue n. 3 of Burden matrix weighted by I-state, Burden eigenvalues
1210,SpMin4_Bh(s),smallest eigenvalue n. 4 of Burden matrix weighted by I-state, Burden eigenvalues
1211,SpMin5_Bh(s),smallest eigenvalue n. 5 of Burden matrix weighted by I-state, Burden eigenvalues
1212,SpMin6_Bh(s),smallest eigenvalue n. 6 of Burden matrix weighted by I-state, Burden eigenvalues
1213,SpMin7_Bh(s),smallest eigenvalue n. 7 of Burden matrix weighted by I-state, Burden eigenvalues
1214,SpMin8_Bh(s),smallest eigenvalue n. 8 of Burden matrix weighted by I-state, Burden eigenvalues
1215,P_VSA_LogP_1,"P_VSA-like on LogP, bin 1", P_VSA-like descriptors
1216,P_VSA_LogP_2,"P_VSA-like on LogP, bin 2", P_VSA-like descriptors
1217,P_VSA_LogP_3,"P_VSA-like on LogP, bin 3", P_VSA-like descriptors
1218,P_VSA_LogP_4,"P_VSA-like on LogP, bin 4", P_VSA-like descriptors
1219,P_VSA_LogP_5,"P_VSA-like on LogP, bin 5", P_VSA-like descriptors
1220,P_VSA_LogP_6,"P_VSA-like on LogP, bin 6", P_VSA-like descriptors
1221,P_VSA_LogP_7,"P_VSA-like on LogP, bin 7", P_VSA-like descriptors
1222,P_VSA_LogP_8,"P_VSA-like on LogP, bin 8", P_VSA-like descriptors
1223,P_VSA_MR_1,"P_VSA-like on Molar Refractivity, bin 1", P_VSA-like descriptors
1224,P_VSA_MR_2,"P_VSA-like on Molar Refractivity, bin 2", P_VSA-like descriptors
1225,P_VSA_MR_3,"P_VSA-like on Molar Refractivity, bin 3", P_VSA-like descriptors
1226,P_VSA_MR_4,"P_VSA-like on Molar Refractivity, bin 4", P_VSA-like descriptors
1227,P_VSA_MR_5,"P_VSA-like on Molar Refractivity, bin 5", P_VSA-like descriptors
1228,P_VSA_MR_6,"P_VSA-like on Molar Refractivity, bin 6", P_VSA-like descriptors
1229,P_VSA_MR_7,"P_VSA-like on Molar Refractivity, bin 7", P_VSA-like descriptors
1230,P_VSA_MR_8,"P_VSA-like on Molar Refractivity, bin 8", P_VSA-like descriptors
1231,P_VSA_m_1,"P_VSA-like on mass, bin 1", P_VSA-like descriptors
1232,P_VSA_m_2,"P_VSA-like on mass, bin 2", P_VSA-like descriptors
1233,P_VSA_m_3,"P_VSA-like on mass, bin 3", P_VSA-like descriptors
1234,P_VSA_m_4,"P_VSA-like on mass, bin 4", P_VSA-like descriptors
1235,P_VSA_m_5,"P_VSA-like on mass, bin 5", P_VSA-like descriptors
1236,P_VSA_v_1,"P_VSA-like on van der Waals volume, bin 1", P_VSA-like descriptors
1237,P_VSA_v_2,"P_VSA-like on van der Waals volume, bin 2", P_VSA-like descriptors
1238,P_VSA_v_3,"P_VSA-like on van der Waals volume, bin 3", P_VSA-like descriptors
1239,P_VSA_v_4,"P_VSA-like on van der Waals volume, bin 4", P_VSA-like descriptors
1240,P_VSA_e_1,"P_VSA-like on Sanderson electronegativity, bin 1", P_VSA-like descriptors
1241,P_VSA_e_2,"P_VSA-like on Sanderson electronegativity, bin 2", P_VSA-like descriptors
1242,P_VSA_e_3,"P_VSA-like on Sanderson electronegativity, bin 3", P_VSA-like descriptors
1243,P_VSA_e_4,"P_VSA-like on Sanderson electronegativity, bin 4", P_VSA-like descriptors
1244,P_VSA_e_5,"P_VSA-like on Sanderson electronegativity, bin 5", P_VSA-like descriptors
1245,P_VSA_e_6,"P_VSA-like on Sanderson electronegativity, bin 6", P_VSA-like descriptors
1246,P_VSA_p_1,"P_VSA-like on polarizability, bin 1", P_VSA-like descriptors
1247,P_VSA_p_2,"P_VSA-like on polarizability, bin 2", P_VSA-like descriptors
1248,P_VSA_p_3,"P_VSA-like on polarizability, bin 3", P_VSA-like descriptors
1249,P_VSA_p_4,"P_VSA-like on polarizability, bin 4", P_VSA-like descriptors
1250,P_VSA_i_1,"P_VSA-like on ionization potential, bin 1", P_VSA-like descriptors
1251,P_VSA_i_2,"P_VSA-like on ionization potential, bin 2", P_VSA-like descriptors
1252,P_VSA_i_3,"P_VSA-like on ionization potential, bin 3", P_VSA-like descriptors
1253,P_VSA_i_4,"P_VSA-like on ionization potential, bin 4", P_VSA-like descriptors
1254,P_VSA_s_1,"P_VSA-like on I-state, bin 1", P_VSA-like descriptors
1255,P_VSA_s_2,"P_VSA-like on I-state, bin 2", P_VSA-like descriptors
1256,P_VSA_s_3,"P_VSA-like on I-state, bin 3", P_VSA-like descriptors
1257,P_VSA_s_4,"P_VSA-like on I-state, bin 4", P_VSA-like descriptors
1258,P_VSA_s_5,"P_VSA-like on I-state, bin 5", P_VSA-like descriptors
1259,P_VSA_s_6,"P_VSA-like on I-state, bin 6", P_VSA-like descriptors
1260,P_VSA_ppp_L,"P_VSA-like on potential pharmacophore points, L &#8211; lipophilic", P_VSA-like descriptors
1261,P_VSA_ppp_P,"P_VSA-like on potential pharmacophore points, P &#8211; positive", P_VSA-like descriptors
1262,P_VSA_ppp_N,"P_VSA-like on potential pharmacophore points, N &#8211; negative", P_VSA-like descriptors
1263,P_VSA_ppp_D,"P_VSA-like on potential pharmacophore points, D &#8211; hydrogen-bond donor", P_VSA-like descriptors
1264,P_VSA_ppp_A,"P_VSA-like on potential pharmacophore points, A &#8211; hydrogen-bond acceptor", P_VSA-like descriptors
1265,P_VSA_ppp_ar,"P_VSA-like on potential pharmacophore points, ar &#8211; aromatic atoms", P_VSA-like descriptors
1266,P_VSA_ppp_con,"P_VSA-like on potential pharmacophore points, con &#8211; conjugated atoms", P_VSA-like descriptors
1267,P_VSA_ppp_hal,"P_VSA-like on potential pharmacophore points, hal &#8211; halogen atoms", P_VSA-like descriptors
1268,P_VSA_ppp_cyc,"P_VSA-like on potential pharmacophore points, cyc &#8211; atoms belonging to cycles", P_VSA-like descriptors
1269,P_VSA_ppp_ter,"P_VSA-like on potential pharmacophore points, ter &#8211; terminal atoms", P_VSA-like descriptors
1270,P_VSA_charge_1,"P_VSA-like on partial charges, bin 1", P_VSA-like descriptors
1271,P_VSA_charge_2,"P_VSA-like on partial charges, bin 2", P_VSA-like descriptors
1272,P_VSA_charge_3,"P_VSA-like on partial charges, bin 3", P_VSA-like descriptors
1273,P_VSA_charge_4,"P_VSA-like on partial charges, bin 4", P_VSA-like descriptors
1274,P_VSA_charge_5,"P_VSA-like on partial charges, bin 5", P_VSA-like descriptors
1275,P_VSA_charge_6,"P_VSA-like on partial charges, bin 6", P_VSA-like descriptors
1276,P_VSA_charge_7,"P_VSA-like on partial charges, bin 7", P_VSA-like descriptors
1277,P_VSA_charge_8,"P_VSA-like on partial charges, bin 8", P_VSA-like descriptors
1278,P_VSA_charge_9,"P_VSA-like on partial charges, bin 9", P_VSA-like descriptors
1279,P_VSA_charge_10,"P_VSA-like on partial charges, bin 10", P_VSA-like descriptors
1280,P_VSA_charge_11,"P_VSA-like on partial charges, bin 11", P_VSA-like descriptors
1281,P_VSA_charge_12,"P_VSA-like on partial charges, bin 12", P_VSA-like descriptors
1282,P_VSA_charge_13,"P_VSA-like on partial charges, bin 13", P_VSA-like descriptors
1283,P_VSA_charge_14,"P_VSA-like on partial charges, bin 14", P_VSA-like descriptors
1284,Eta_alpha,eta core count, ETA indices
1285,Eta_alpha_A,eta average core count, ETA indices
1286,Eta_epsi,eta electronegativity measure, ETA indices
1287,Eta_epsi_A,eta average electronegativity measure, ETA indices
1288,Eta_betaS,eta sigma VEM count, ETA indices
1289,Eta_betaS_A,eta sigma average VEM count, ETA indices
1290,Eta_betaP,eta pi and lone pair VEM count, ETA indices
1291,Eta_betaP_A,eta pi and lone pair average VEM count, ETA indices
1292,Eta_beta,eta VEM count, ETA indices
1293,Eta_beta_A,eta average VEM count, ETA indices
1294,Eta_C,eta composite index, ETA indices
1295,Eta_C_A,eta average composite index, ETA indices
1296,Eta_L,eta local composite index, ETA indices
1297,Eta_L_A,eta average local composite index, ETA indices
1298,Eta_R,eta composite index for reference alkane, ETA indices
1299,Eta_F,eta functionality index, ETA indices
1300,Eta_F_A,eta average functionality index, ETA indices
1301,Eta_LR,eta local composite index for reference alkane, ETA indices
1302,Eta_FL,eta local functionality index, ETA indices
1303,Eta_FL_A,eta average local functionality index, ETA indices
1304,Eta_B,eta branching index, ETA indices
1305,Eta_B_A,eta average branching index, ETA indices
1306,Eta_sh_p,eta p shape index, ETA indices
1307,Eta_sh_y,eta y shape index, ETA indices
1308,Eta_sh_x,eta x shape index, ETA indices
1309,Eta_D_AlphaA,eta delta alpha a index, ETA indices
1310,Eta_D_AlphaB,eta delta alpha b index, ETA indices
1311,Eta_epsi_2,eta electronegativity measure 2, ETA indices
1312,Eta_epsi_3,eta electronegativity measure 3, ETA indices
1313,Eta_epsi_4,eta electronegativity measure 4, ETA indices
1314,Eta_epsi_5,eta electronegativity measure 5, ETA indices
1315,Eta_D_epsiA,eta measure of unsaturation and electronegative atom count, ETA indices
1316,Eta_D_epsiB,eta measure of unsaturation, ETA indices
1317,Eta_D_epsiC,eta measure of electronegativity, ETA indices
1318,Eta_D_epsiD,eta measure of hydrogen bond donor atoms, ETA indices
1319,Eta_psi1,eta measure of hydrogen bonding propensity and/or polar surface area, ETA indices
1320,Eta_D_psiA,eta measure of hydrogen bonding propensity, ETA indices
1321,Eta_D_psiB,eta measure of hydrogen bonding propensity, ETA indices
1322,Eta_D_beta,eta measure of electronic features, ETA indices
1323,Eta_D_beta_A,eta average measure of electronic features, ETA indices
1324,SpMax_EA,leading eigenvalue from edge adjacency mat., Edge adjacency indices
1325,SpMaxA_EA,normalized leading eigenvalue from edge adjacency mat., Edge adjacency indices
1326,SpDiam_EA,spectral diameter from edge adjacency mat., Edge adjacency indices
1327,SpAD_EA,spectral absolute deviation from edge adjacency mat., Edge adjacency indices
1328,SpMAD_EA,spectral mean absolute deviation from edge adjacency mat., Edge adjacency indices
1329,SpMax_EA(ed),leading eigenvalue from edge adjacency mat. weighted by edge degree, Edge adjacency indices
1330,SpMaxA_EA(ed),normalized leading eigenvalue from edge adjacency mat. weighted by edge degree, Edge adjacency indices
1331,SpDiam_EA(ed),spectral diameter from edge adjacency mat. weighted by edge degree, Edge adjacency indices
1332,SpAD_EA(ed),spectral absolute deviation from edge adjacency mat. weighted by edge degree, Edge adjacency indices
1333,SpMAD_EA(ed),spectral mean absolute deviation from edge adjacency mat. weighted by edge degree, Edge adjacency indices
1334,SpMax_EA(bo),leading eigenvalue from edge adjacency mat. weighted by bond order, Edge adjacency indices
1335,SpMaxA_EA(bo),normalized leading eigenvalue from edge adjacency mat. weighted by bond order, Edge adjacency indices
1336,SpDiam_EA(bo),spectral diameter from edge adjacency mat. weighted by bond order, Edge adjacency indices
1337,SpAD_EA(bo),spectral absolute deviation from edge adjacency mat. weighted by bond order, Edge adjacency indices
1338,SpMAD_EA(bo),spectral mean absolute deviation from edge adjacency mat. weighted by bond order, Edge adjacency indices
1339,SpMax_EA(dm),leading eigenvalue from edge adjacency mat. weighted by dipole moment, Edge adjacency indices
1340,SpMaxA_EA(dm),normalized leading eigenvalue from edge adjacency mat. weighted by dipole moment, Edge adjacency indices
1341,SpDiam_EA(dm),spectral diameter from edge adjacency mat. weighted by dipole moment, Edge adjacency indices
1342,SpAD_EA(dm),spectral absolute deviation from edge adjacency mat. weighted by dipole moment, Edge adjacency indices
1343,SpMAD_EA(dm),spectral mean absolute deviation from edge adjacency mat. weighted by dipole moment, Edge adjacency indices
1344,SpMax_EA(ri),leading eigenvalue from edge adjacency mat. weighted by resonance integral, Edge adjacency indices
1345,SpMaxA_EA(ri),normalized leading eigenvalue from edge adjacency mat. weighted by resonance integral, Edge adjacency indices
1346,SpDiam_EA(ri),spectral diameter from edge adjacency mat. weighted by resonance integral, Edge adjacency indices
1347,SpAD_EA(ri),spectral absolute deviation from edge adjacency mat. weighted by resonance integral, Edge adjacency indices
1348,SpMAD_EA(ri),spectral mean absolute deviation from edge adjacency mat. weighted by resonance integral, Edge adjacency indices
1349,SpMax_AEA(ed),leading eigenvalue from augmented edge adjacency mat. weighted by edge degree, Edge adjacency indices
1350,SpMaxA_AEA(ed),normalized leading eigenvalue from augmented edge adjacency mat. weighted by edge degree, Edge adjacency indices
1351,SpDiam_AEA(ed),spectral diameter from augmented edge adjacency mat. weighted by edge degree, Edge adjacency indices
1352,SpAD_AEA(ed),spectral absolute deviation from augmented edge adjacency mat. weighted by edge degree, Edge adjacency indices
1353,SpMAD_AEA(ed),spectral mean absolute deviation from augmented edge adjacency mat. weighted by edge degree, Edge adjacency indices
1354,SpMax_AEA(bo),leading eigenvalue from augmented edge adjacency mat. weighted by bond order, Edge adjacency indices
1355,SpMaxA_AEA(bo),normalized leading eigenvalue from augmented edge adjacency mat. weighted by bond order, Edge adjacency indices
1356,SpDiam_AEA(bo),spectral diameter from augmented edge adjacency mat. weighted by bond order, Edge adjacency indices
1357,SpAD_AEA(bo),spectral absolute deviation from augmented edge adjacency mat. weighted by bond order, Edge adjacency indices
1358,SpMAD_AEA(bo),spectral mean absolute deviation from augmented edge adjacency mat. weighted by bond order, Edge adjacency indices
1359,SpMax_AEA(dm),leading eigenvalue from augmented edge adjacency mat. weighted by dipole moment, Edge adjacency indices
1360,SpMaxA_AEA(dm),normalized leading eigenvalue from augmented edge adjacency mat. weighted by dipole moment, Edge adjacency indices
1361,SpDiam_AEA(dm),spectral diameter from augmented edge adjacency mat. weighted by dipole moment, Edge adjacency indices
1362,SpAD_AEA(dm),spectral absolute deviation from augmented edge adjacency mat. weighted by dipole moment, Edge adjacency indices
1363,SpMAD_AEA(dm),spectral mean absolute deviation from augmented edge adjacency mat. weighted by dipole moment, Edge adjacency indices
1364,SpMax_AEA(ri),leading eigenvalue from augmented edge adjacency mat. weighted by resonance integral, Edge adjacency indices
1365,SpMaxA_AEA(ri),normalized leading eigenvalue from augmented edge adjacency mat. weighted by resonance integral, Edge adjacency indices
1366,SpDiam_AEA(ri),spectral diameter from augmented edge adjacency mat. weighted by resonance integral, Edge adjacency indices
1367,SpAD_AEA(ri),spectral absolute deviation from augmented edge adjacency mat. weighted by resonance integral, Edge adjacency indices
1368,SpMAD_AEA(ri),spectral mean absolute deviation from augmented edge adjacency mat. weighted by resonance integral, Edge adjacency indices
1369,Chi0_EA,connectivity-like index of order 0 from edge adjacency mat., Edge adjacency indices
1370,Chi1_EA,connectivity-like index of order 1 from edge adjacency mat., Edge adjacency indices
1371,Chi0_EA(ed),connectivity-like index of order 0 from edge adjacency mat. weighted by edge degree, Edge adjacency indices
1372,Chi1_EA(ed),connectivity-like index of order 1 from edge adjacency mat. weighted by edge degree, Edge adjacency indices
1373,Chi0_EA(bo),connectivity-like index of order 0 from edge adjacency mat. weighted by bond order, Edge adjacency indices
1374,Chi1_EA(bo),connectivity-like index of order 1 from edge adjacency mat. weighted by bond order, Edge adjacency indices
1375,Chi0_EA(dm),connectivity-like index of order 0 from edge adjacency mat. weighted by dipole moment, Edge adjacency indices
1376,Chi1_EA(dm),connectivity-like index of order 1 from edge adjacency mat. weighted by dipole moment, Edge adjacency indices
